customer_id,account_id,order_id
LOG6700,4fc6dde1ab,ORD0679045
LOG4426,ce4c3b259c,ORD9602280
LOG3778,5b90c1f801,ORD8364509
LOG6986,ce4c3b259c,ORD5167922
LOG8772,ca191e686d,ORD4423255
LOG0581,18d3dbe2a0,ORD2800075
LOG3733,4aa7736432,ORD4591575
LOG9758,18d3dbe2a0,ORD9715653
LOG5546,ef61a579c9,ORD7809743
LOG7086,ef61a579c9,ORD1565763
LOG5665,ef61a579c9,ORD6451340
LOG1868,18d3dbe2a0,ORD8150274
LOG1094,203d10b34a,ORD5147069
LOG1158,ce4c3b259c,ORD9880031
LOG0056,ca191e686d,ORD5941419
LOG6986,ce4c3b259c,ORD8276808
LOG7044,203d10b34a,ORD2847826
LOG8246,4fc6dde1ab,ORD0095224
LOG4204,18d3dbe2a0,ORD0442861
LOG0587,5b90c1f801,ORD2842258
LOG5647,4fc6dde1ab,ORD3852955
LOG0147,4fc6dde1ab,ORD9109647
LOG5407,ca191e686d,ORD9031466
LOG6251,4fc6dde1ab,ORD1406294
LOG4127,203d10b34a,ORD9154785
LOG8412,651312ffe6,ORD3831999
LOG5444,203d10b34a,ORD8828369
LOG6735,4aa7736432,ORD6966383
LOG5020,ca191e686d,ORD7331099
LOG0171,203d10b34a,ORD6837947
LOG3684,5b90c1f801,ORD9062563
LOG5879,5b90c1f801,ORD0605607
LOG1982,5b90c1f801,ORD7251264
LOG3501,4fc6dde1ab,ORD5223751
LOG3416,203d10b34a,ORD4165138
LOG1159,18d3dbe2a0,ORD7863604
LOG9778,ce4c3b259c,ORD8816265
LOG2893,4fc6dde1ab,ORD1599085
LOG8237,5b90c1f801,ORD3654724
LOG0402,ef61a579c9,ORD1305203
LOG9665,18d3dbe2a0,ORD2237620
LOG5150,ef61a579c9,ORD8095101
LOG3756,4aa7736432,ORD6756870
LOG7825,ca191e686d,ORD8058070
LOG4681,4aa7736432,ORD6200564
LOG1959,ca191e686d,ORD6326510
LOG9079,4aa7736432,ORD3417237
LOG8662,651312ffe6,ORD4436708
LOG6564,203d10b34a,ORD6726991
LOG9111,095be1c4cf,ORD1974841
LOG6553,ef61a579c9,ORD5663417
LOG1686,203d10b34a,ORD5187349
LOG1265,4fc6dde1ab,ORD3961499
LOG3071,18d3dbe2a0,ORD9487236
LOG1530,ef61a579c9,ORD2234415
LOG3401,ef61a579c9,ORD6158275
LOG9662,ce4c3b259c,ORD2698867
LOG1918,651312ffe6,ORD0830585
LOG6106,5b90c1f801,ORD8745619
LOG9779,ca191e686d,ORD6945749
LOG2335,4aa7736432,ORD1369178
LOG2091,ef61a579c9,ORD8687361
LOG9933,ca191e686d,ORD4684053
LOG1112,ef61a579c9,ORD2226603
LOG0859,18d3dbe2a0,ORD7783627
LOG3564,203d10b34a,ORD9853053
LOG3496,4aa7736432,ORD0314264
LOG8566,ca191e686d,ORD3264107
LOG5564,095be1c4cf,ORD9286565
