order_id,product_id,customer_id,date_order,quantities,country_address
ORD0679045,285,LOG6700,19/1/23,24,Switzerland
ORD9602280,169,LOG4426,11/10/24,75,USA
ORD8364509,165,LOG3778,14/2/24,72,Saudi Arabia
ORD5167922,274,LOG6986,21/9/23,36,USA
ORD4423255,137,LOG8772,25/5/22,38,Saudi Arabia
ORD2800075,45,LOG0581,25/5/22,84,France
ORD4591575,195,LOG3733,6/2/22,99,Italy
ORD9715653,284,LOG9758,10/7/24,89,United Kingdom
ORD7809743,188,LOG5546,24/9/23,99,Saudi Arabia
ORD1565763,286,LOG7086,19/1/24,25,France
ORD6451340,286,LOG5665,27/12/21,93,Germany
ORD8150274,200,LOG1868,1/11/24,18,Portugal
ORD5147069,249,LOG1094,3/6/24,82,USA
ORD9880031,240,LOG1158,25/7/22,66,France
ORD5941419,223,LOG0056,22/6/22,54,USA
ORD8276808,25,LOG6986,24/6/22,35,USA
ORD2847826,163,LOG7044,3/11/22,80,France
ORD0095224,149,LOG8246,2/7/23,61,USA
ORD0442861,171,LOG4204,23/3/23,41,Greece
ORD2842258,165,LOG0587,20/10/22,100,Italy
ORD3852955,223,LOG5647,6/10/23,33,Germany
ORD9109647,34,LOG0147,7/5/22,68,USA
ORD9031466,295,LOG5407,21/10/22,33,China
ORD1406294,101,LOG6251,10/1/23,14,USA
ORD9154785,190,LOG4127,18/4/23,21,Greece
ORD3831999,156,LOG8412,13/4/24,48,Turkey
ORD8828369,133,LOG5444,11/7/22,20,France
ORD6966383,22,LOG6735,21/6/23,8,Greece
ORD7331099,165,LOG5020,14/9/23,7,United Kingdom
ORD6837947,63,LOG0171,25/1/22,67,Egypt
ORD9062563,49,LOG3684,1/10/23,17,USA
ORD0605607,242,LOG5879,9/6/22,33,Germany
ORD7251264,50,LOG1982,14/2/22,48,Spain
ORD5223751,70,LOG3501,9/10/24,76,Sweden
ORD4165138,297,LOG3416,27/10/24,59,Germany
ORD7863604,31,LOG1159,8/5/24,86,Netherlands
ORD8816265,69,LOG9778,3/11/22,22,Germany
ORD1599085,40,LOG2893,22/3/22,30,Italy
ORD3654724,67,LOG8237,24/12/23,38,France
ORD1305203,246,LOG0402,1/4/23,51,Italy
ORD2237620,208,LOG9665,17/4/22,54,Italy
ORD8095101,105,LOG5150,31/5/23,8,Iraq
ORD6756870,25,LOG3756,11/1/22,27,Egypt
ORD8058070,225,LOG7825,26/8/24,27,China
ORD6200564,247,LOG4681,14/9/22,98,USA
ORD6326510,185,LOG1959,30/11/23,21,China
ORD3417237,191,LOG9079,11/11/22,30,Spain
ORD4436708,163,LOG8662,27/6/23,97,Switzerland
ORD6726991,33,LOG6564,26/7/23,28,Spain
ORD1974841,161,LOG9111,25/6/22,64,Germany
ORD5663417,143,LOG6553,31/10/24,97,USA
ORD5187349,225,LOG1686,2/4/24,69,USA
ORD3961499,64,LOG1265,29/9/24,61,USA
ORD9487236,104,LOG3071,11/8/24,48,Portugal
ORD2234415,127,LOG1530,20/9/23,19,Egypt
ORD6158275,5,LOG3401,9/9/24,4,France
ORD2698867,285,LOG9662,12/3/22,35,United Kingdom
